366	Station Castle Hill	41.467213	-71.349248
367	Station Point Judith	41.36392	-71.487567
368	Arnold AFB	35.204972	-86.099425
369	NSA Mid-South	35.328228	-89.87318
370	Anniston Army Depot	33.65	-85.975
371	Aviation Training Center	30.687231	-88.243561
372	Fort Rucker	31.355176	-85.749578
373	Maxwell-Gunter AFB	32.380795	-86.361111
374	Redstone Arsenal	34.649167	-86.670628
375	Barry M. Goldwater Range	32.4625	-113.445833
376	Camp Navajo	35.193611	-111.841944
377	Davis-Monthan AFB	32.170006	-110.88279
378	Fort Huachuca	31.586432	-110.34874
379	Luke AFB	33.535249	-112.38036
380	MCAS Yuma	32.650216	-114.618902
381	Yuma Proving Ground	33.1456	-114.429131
382	Beale AFB	39.138848	-121.438923
383	Camp Parks (PRFTA)	37.716825	-121.89751
384	Camp Pendleton	33.301333	-117.355167
385	Chocolate Mountain Gunnery Range	33.3	-115.341667
386	Edwards AFB	34.914933	-117.890339
387	Fort Hunter Liggett	35.97	-121.2306495
388	Fort Irwin	35.463606	-116.702614
389	ISC Alameda	37.765	-122.24
390	Los Angeles AFB	33.916064	-118.404075
391	March Air Reserve Base	33.889675	-117.24821
392	MCAS Miramar	32.870072	-117.14653
393	McClellan AFB	38.667778	-121.400556
394	MCLB Barstow	34.867975	-116.955814
395	MCRD San Diego	32.73703	-117.199757
396	Mountain Training Center	38.28916	-119.07006
397	NAS Lemoore	36.322852	-119.92851
398	NAS Point Mugu	34.119337	-119.119263
399	Naval Air Facility El Centro	32.824367	-115.676311
400	Naval Base Coronado	32.675795	-117.161293
401	Naval Battalion Center	34.153792	-119.202089
402	Naval Hospital Pendleton	33.323232	-117.314133
403	Naval Medical Center	32.725786	-117.143328
404	Naval Postgraduate School	36.596639	-121.873425
405	NAWS China Lake	35.687697	-117.690697
406	North Island Naval Complex	32.700933	-117.199917
407	NS San Diego	32.675434	-117.121468
408	NWS Seal Beach	33.746631	-118.091271
409	Point Loma	32.683633	-117.239137
410	Presidio of Monterey	36.603161	-121.910765
411	TRACEN Petaluma	38.257571	-122.783084
412	Travis AFB	38.258806	-121.945839
413	Twentynine Palms	34.246588	-116.091026
414	Vandenberg AFB	34.737381	-120.586452
